Symbol,Description,Last,Net Chng,%Change,Volume,Bid,Ask,High,Low,EPS,Market Cap,Vol Index
FUJHY,SUBARU CORPORATION ADR UNSPONSORED,8.53,0,0.00%,<empty>,8.14,8.56,0,0,.7699,"13,084 M",<empty>
FUN,CEDAR FAIR LP DEPOSITRY UTS(REP LTD PART),44.62,0,0.00%,<empty>,43.90,44.95,0,0,4.4,"2,290 M",25.84%
FUV,ARCIMOTO INC COM,1.58,0,0.00%,<empty>,1.55,1.60,0,0,-22.69,12 M,<empty>
FVTI,FORTUNE VALLEY TREASURES INC COM,3.35,0,0.00%,<empty>,1.02,3.89,0,0,-.14,52 M,<empty>
FWRG,FIRST WATCH RESTAURANT GRP INC COM,17.65,0,0.00%,<empty>,15.41,18.69,0,0,.18,"1,048 M",64.91%
GACR,GREEN AUTOMOTIVE COMPANY CORP COM,.0001,0,0.00%,<empty>,.0001,.0008,0,0,<empty>,0.07 M,<empty>
GAN,GAN LTD COM,1.25,0,0.00%,<empty>,1.23,1.44,0,0,-4.52,56 M,177.74%
GBTG,GLOBAL BUS TRAVEL GRP INC COM CL A,7.17,0,0.00%,<empty>,6.26,7.73,0,0,-.3885,501 M,107.36%
GCO,GENESCO INC COM,18.03,0,0.00%,<empty>,17.70,19.80,0,0,3.69,227 M,83.50%
GDEN,GOLDEN ENTMT INC COM,42.14,0,0.00%,<empty>,36.80,48.26,0,0,1.87,"1,215 M",53.13%
GEBHY,GENTING BERHAD ADR SPONSORED,4.65,0,0.00%,<empty>,.01,20005.03,0,0,-.0007,"3,581 M",<empty>
GEHI,GRAVITAS EDUCATION HLDGS INC ADR,13.90,0,0.00%,<empty>,12.13,15.92,0,0,-29.2,19 M,<empty>
GELYY,GEELY AUTOMOBILE HOLDINGS LTD ADR UNSPONSORED,23.22,0,0.00%,<empty>,22.06,24.24,0,0,1.435,"11,676 M",<empty>
GENI,GENIUS SPORTS LIMITED COM,5.72,0,0.00%,<empty>,5.00,5.75,0,0,-.82,"1,190 M",89.16%
GGR,GOGORO INC COM,2.94,0,0.00%,<empty>,2.85,3.02,0,0,-.4824,718 M,102.24%
GGROW,GOGORO INC WARRANT,.3649,0,0.00%,<empty>,.3124,.3649,0,0,<empty>,0,<empty>
GHC,GRAHAM HOLDINGS CO COM CL B,564.75,0,0.00%,<empty>,493.23,646.64,0,0,5.22,"2,678 M",<empty>
GHG,GREENTREE HOSPITALITY GRP LTD ADR,4.12,0,0.00%,<empty>,3.78,4.51,0,0,-.5324,421 M,<empty>
GIII,G-III APPAREL GROUP COM,16.08,0,0.00%,<empty>,14.04,18.42,0,0,-2.79,733 M,72.35%
GIL,GILDAN ACTIVEWEAR INC COM,27.27,0,0.00%,<empty>,23.81,31.23,0,0,2.7,"4,861 M",++
GLXZ,GALAXY GAMING INC COM,2.43,0,0.00%,<empty>,2.30,2.50,0,0,-.0651,59 M,<empty>
GMBLP,ESPORTS ENTERTAINMENT GRP INC 10% PFD CONV SER A *CLBL,4.70,0,0.00%,<empty>,4.50,4.89,0,0,<empty>,0,<empty>
GMBLW,ESPORTS ENTERTAINMENT GRP INC WARRANT,.0251,0,0.00%,<empty>,.0250,.0288,0,0,<empty>,0,<empty>
GMPR,GOURMET PROVISIONS INTL CORP COM,.0020,0,0.00%,<empty>,.0010,.0040,0,0,<empty>,0,<empty>
GMVHY,ENTAIN PLC ADR UNSPONSORED,16.42,0,0.00%,<empty>,16.03,17.45,0,0,.0502,"9,669 M",<empty>
GNLN,GREENLANE HOLDINGS INC COM CL A,.3070,0,0.00%,<empty>,.3000,.3230,0,0,-12.61,4.9 M,<empty>
GOEVW,CANOO INC WARRANT  *CLBL,.0760,0,0.00%,<empty>,.0760,.0860,0,0,<empty>,0,<empty>
GOOS,CANADA GOOSE HOLDINGS INC COM,15.90,0,0.00%,<empty>,15.51,16.10,0,0,.5052,"1,653 M",46.32%
GPI,GROUP 1 AUTOMOTIVE INC COM,223.51,0,0.00%,<empty>,195.20,255.92,0,0,46.36,"3,161 M",44.23%
GRBK,GREEN BRICK PARTNERS INC COM,47.87,0,0.00%,<empty>,45.14,50.10,0,0,6.19,"2,178 M",53.33%
GRLT,GRILLIT INC COM,.0001,0,0.00%,<empty>,.0001,.0002,0,0,<empty>,0,<empty>
GTIM,GOOD TIMES RESTAURANTS INC COM,2.89,0,0.00%,<empty>,2.52,3.31,0,0,.82,34 M,100.94%
GVSI,GOOD VIBRATIONS SHOES INC COM,.0100,0,0.00%,<empty>,.0096,.0103,0,0,<empty>,0.01 M,<empty>
GWLLY,GREAT WALL MOTOR CO LTD ADR UNSPONSORED,10.25,0,0.00%,<empty>,9.72,10.67,0,0,1.076,"8,699 M",<empty>
H,HYATT HOTELS CORP COM CL A,107.48,0,0.00%,<empty>,105.50,116.25,0,0,5.29,"11,359 M",36.54%
HBB,HAMILTON BEACH BRANDS HLDG CO COM CL A,9.31,0,0.00%,<empty>,9.14,10.66,0,0,.96,131 M,95.68%
HCDIP,HARBOR CUSTOM DEVELOPMENT INC CUM CONV PFD SER A 8.0 % *CLBL,5.46,0,0.00%,<empty>,4.84,6.26,0,0,<empty>,0,<empty>
HCDIW,HARBOR CUSTOM DEVELOPMENT INC WARRANT,.0037,0,0.00%,<empty>,.0037,.0043,0,0,<empty>,0,<empty>
HELE,HELEN OF TROY CORP COM,96.28,0,0.00%,<empty>,96.28,98.20,0,0,5.95,"2,314 M",62.26%
HESAF,HERMES INTERNATIONAL COM,2046.35,0,0.00%,<empty>,2012.00,2075.00,0,0,33.76,"213,924 M",<empty>
HESAY,HERMES INTERNATIONAL ADR UNSPONSORED,204.18,0,0.00%,<empty>,203.72,204.55,0,0,3.376,"213,448 M",<empty>
HGGGQ,HHGREGG INC COM,.0003,0,0.00%,<empty>,.0001,.2599,0,0,<empty>,0.01 M,<empty>
HGV,HILTON GRAND VACATIONS INC COM,42.75,0,0.00%,<empty>,40.00,44.50,0,0,3.15,"4,763 M",46.03%
HLT,HILTON WORLDWIDE HOLDINGS INC COM,136.12,0,0.00%,<empty>,134.00,138.00,0,0,4.55,"36,021 M",30.73%
HNNMY,HENNES & MAURITZ ADR UNSPONSORED,2.46,0,0.00%,<empty>,2.36,2.64,0,0,.0456,"20,045 M",<empty>
HOFT,HOOKER FURNISHINGS CORP COM,14.85,0,0.00%,<empty>,12.96,17.01,0,0,-.37,164 M,66.90%
HOFV,HALL OF FAME RESORT & ENTERTAI COM,6.6152,0,0.00%,<empty>,6.50,7.15,0,0,-10.78,37 M,--
HOFVW,HALL OF FAME RESORT & ENTERTAI WARRANT  *CLBL,.044949,0,0.00%,<empty>,.040000,.051500,0,0,<empty>,0,<empty>
HOV,HOVNANIAN ENTERPRISES INC COM CL A,83.96,0,0.00%,<empty>,73.32,87.32,0,0,28.19,504 M,<empty>
HOVNP,HOVNANIAN ENTERPRISES INC PRF STK SERIES A *CLBL,17.0001,0,0.00%,<empty>,14.84,18.50,0,0,<empty>,0,<empty>
HTHT,H WORLD GROUP LTD ADR,36.62,0,0.00%,<empty>,35.00,36.88,0,0,-.1292,"11,671 M",51.80%
HVCW,HARRISON VICKERS & WATERMAN IN COM,.0001,0,0.00%,<empty>,<empty>,.0001,0,0,-.01,0.02 M,<empty>
HVT,HAVERTY FURNITURE COS INC COM,26.39,0,0.00%,<empty>,25.00,30.22,0,0,4.87,429 M,48.87%
HWGG,HWGG ENTMT LTD COM,.1000,0,0.00%,<empty>,.0760,.7980,0,0,-.0069,50 M,<empty>
HYMTF,HYUNDAI MOTOR CO ADR UNSPONSORED,40.00,0,0.00%,<empty>,38.62,40.32,0,0,13.42,"20,954 M",<empty>
IBGR,NEXUS ENERGY SERVICES INC NEW COM,.01375,0,0.00%,<empty>,.01310,.01400,0,0,<empty>,0.1 M,<empty>
IBP,INSTALLED BUILDING PRODUCTS IN COM,104.54,0,0.00%,<empty>,91.30,119.70,0,0,8.34,"2,969 M",32.25%
ID,PARTS ID INC COM CL A,.3677,0,0.00%,<empty>,.3211,.4211,0,0,-.6,13 M,<empty>
IDEXY,INDITEX (INDDE DISENO TEXTIL) ADR UNSPONSORED,17.00,0,0.00%,<empty>,.01,47766.30,0,0,.6981,"105,798 M",<empty>
IFABF,IFABRIC CORP COM,1.006,0,0.00%,<empty>,.200,2001.040,0,0,.0161,30 M,<empty>
IGT,INTL GAME TECH PLC COM,24.53,0,0.00%,<empty>,24.25,24.80,0,0,1.07,"4,911 M",41.69%
INSE,INSPIRED ENTERTAINMENT INC COM,13.73,0,0.00%,<empty>,11.99,15.73,0,0,.71,361 M,60.59%
IPIC,IPIC ENTERTAINMENT INC COM CL A,.0001,0,0.00%,<empty>,.0301,.4980,0,0,-.2017,0,<empty>
IRBT,IROBOT CORP COM,35.45,0,0.00%,<empty>,35.46,36.86,0,0,-12.35,978 M,91.40%
ISCB,ISHARES TRUST MRGSTR SM CP ETF,45.8501,0,0.00%,<empty>,41.21,52.50,0,0,<empty>,190 M,<empty>
ISPO,INSPIRATO INC COM CL A,.9460,0,0.00%,<empty>,.9100,.9650,0,0,-.21,64 M,++
ISPOW,INSPIRATO INC WARRANT,.0600,0,0.00%,<empty>,.0570,.0687,0,0,<empty>,0,<empty>
ISUZY,ISUZU MOTORS ADR UNSPONSORED,11.57,0,0.00%,<empty>,11.01,12.08,0,0,1.39,"8,968 M",<empty>
IVDN,INNOVATIVE DESIGNS INC COM,.2000,0,0.00%,<empty>,.1537,.2300,0,0,-.008,7.1 M,<empty>
JACK,JACK IN THE BOX INC COM,86.56,0,0.00%,<empty>,75.59,99.12,0,0,7.05,"1,765 M",35.56%
JADA,JADE ART GROUP INC COM,.01255,0,0.00%,<empty>,.00500,.01880,0,0,<empty>,1 M,<empty>
JAKK,JAKKS PACIFIC INC COM,20.65,0,0.00%,<empty>,18.03,23.65,0,0,8.71,204 M,79.90%
JILL,J JILL INC COM,21.99,0,0.00%,<empty>,19.50,25.18,0,0,2.95,233 M,<empty>
JKHCF,JUST KITCHEN HOLDINGS CORP COM,.0544,0,0.00%,<empty>,.0273,.1020,0,0,-.1611,5.1 M,<empty>
JOUT,JOHNSON OUTDOORS INC COM CL A,56.76,0,0.00%,<empty>,49.57,65.00,0,0,4.35,582 M,<empty>
JPOTF,JACKPOT DIGITAL INC COM,.0563,0,0.00%,<empty>,.0015,1000.0600,0,0,-.0366,7.4 M,<empty>
JRSH,JERASH HOLDINGS US INC COM,4.19,0,0.00%,<empty>,3.84,4.20,0,0,.33,52 M,<empty>
JTKWY,JUST EAT TAKEAWAY.COM N.V ADR SPONSORED,2.985,0,0.00%,<empty>,2.900,3.200,0,0,-5.578,"3,283 M",<empty>
JXJT,JX LUXVENTURE LIMITED COM,3.56,0,0.00%,<empty>,3.47,3.77,0,0,-43.7,22 M,<empty>
KAVL,KAIVAL BRANDS INNOVATIONS GRP COM,.5601,0,0.00%,<empty>,.5120,.6414,0,0,-.32,31 M,<empty>
KENS,KENILWORTH SYSTEMS CORP COM,.1650,0,0.00%,<empty>,.0450,.1645,0,0,-.0005,8.2 M,<empty>
KGFHF,KINGFISHER COM,2.92,0,0.00%,<empty>,.01,2003.90,0,0,.2876,"5,630 M",<empty>
KGFHY,KINGFISHER ADR SPONSORED,5.73,0,0.00%,<empty>,5.65,5.79,0,0,.5751,"5,524 M",<empty>
KGJI,KINGOLD JEWELRY INC COM,.0001,0,0.00%,<empty>,.1105,.3000,0,0,.41,0,<empty>
KITL,KISSES FROM ITALY INC COM,.0333,0,0.00%,<empty>,.0270,.0390,0,0,-.0086,7.5 M,<empty>
KMX,CARMAX INC COM,72.21,0,0.00%,<empty>,71.48,72.88,0,0,3.03,"11,416 M",49.51%
KRIUF,THE KEG ROYALTIES INCOME FD COM,11.3579,0,0.00%,<empty>,11.2700,17.6300,0,0,1.106,129 M,<empty>
KRUS,KURA SUSHI USA INC COM CL A,81.49,0,0.00%,<empty>,71.17,89.00,0,0,-.08,903 M,<empty>
KTB,KONTOOR BRANDS INC COM,39.16,0,0.00%,<empty>,34.20,44.84,0,0,4.07,"2,196 M",48.68%
KXINW,KAIXIN AUTO HOLDINGS WARRANT,.0094,0,0.00%,<empty>,.0070,.0164,0,0,<empty>,0,<empty>
LAKE,LAKELAND INDUSTRIES COM,10.95,0,0.00%,<empty>,10.90,12.54,0,0,.24,81 M,71.76%
LANV,LANVIN GROUP HOLDINGS COM,5.15,0,0.00%,<empty>,5.15,5.28,0,0,-2.262,675 M,<empty>
LANV/WS,LANVIN GROUP HOLDINGS WARRANT,.3200,0,0.00%,<empty>,.2794,.3664,0,0,<empty>,0,<empty>
LAUR,LAUREATE EDUCATION INC COM,12.10,0,0.00%,<empty>,10.56,12.75,0,0,.49,"1,902 M",41.17%
LAZY,LAZYDAYS HOLDINGS INC COM,12.00,0,0.00%,<empty>,10.48,13.74,0,0,1.08,166 M,57.89%
LBAS,LOCATION BASED TEC COM,.0032,0,0.00%,<empty>,.0026,.0039,0,0,<empty>,0.89 M,<empty>
LBTD,LOTUS BIO TECHNOLOGY DEV CORP COM,.001776,0,0.00%,<empty>,.001300,.005700,0,0,-.0041,1.4 M,<empty>
LCUT,LIFETIME BRANDS IN COM,4.90,0,0.00%,<empty>,4.75,5.62,0,0,-.72,106 M,66.74%
LE,LANDS END INC COM,6.27,0,0.00%,<empty>,6.00,7.18,0,0,-.38,204 M,121.77%
LEAI,LEGACY EDUCATION ALLIANCE INC COM,.17875,0,0.00%,<empty>,.14800,.18900,0,0,-.04,6.8 M,<empty>
LEAT,LEATT CORPORATION COM,11.48,0,0.00%,<empty>,10.35,15.00,0,0,1.1,69 M,<empty>
LEFUF,LEON'S FURNITURE COM,15.02,0,0.00%,<empty>,15.22,115.48,0,0,1.809,"1,020 M",<empty>
LEG,LEGGETT & PLATT INC COM,30.48,0,0.00%,<empty>,30.33,31.80,0,0,2,"4,057 M",37.80%
LEGH,LEGACY HOUSING CORPORATION COM,19.04,0,0.00%,<empty>,16.62,21.80,0,0,2.74,464 M,56.60%
LEN/B,LENNAR CORP COM CL B,94.55,0,0.00%,<empty>,82.57,108.26,0,0,16.09,"27,363 M",<empty>
LFSWF,LIFEIST WELLNESS I COM,.02872,0,0.00%,<empty>,.00290,100.03000,0,0,-.0212,13 M,<empty>
LGIH,LGI HOMES INC COM,113.77,0,0.00%,<empty>,110.27,118.84,0,0,11.65,"2,677 M",41.36%
LINC,LINCOLN EDUCATIONA COM,6.39,0,0.00%,<empty>,5.90,7.32,0,0,.3579,200 M,54.83%
LIND,LINDBLAD EXPEDITIONS HLDGS INC COM,9.48,0,0.00%,<empty>,8.38,10.00,0,0,-1.39,505 M,83.86%
LIVE,LIVE VENTURES INCORPORATED COM,25.0001,0,0.00%,<empty>,21.83,28.63,0,0,2.05,79 M,<empty>
LKNCY,LUCKIN COFFEE INC ADR SPONSORED,18.03,0,0.00%,<empty>,17.90,18.05,0,0,.4592,"4,975 M",<empty>
LKQ,LKQ CORPORATION COM,52.75,0,0.00%,<empty>,50.50,55.00,0,0,4.2,"14,100 M",24.79%
LMPX,LMP AUTOMOTIVE HOLDINGS INC COM,1.30,0,0.00%,<empty>,8.46,8.61,0,0,-1,14 M,<empty>
LNNGF,LI NING CO LTD COM,5.74,0,0.00%,<empty>,5.12,5.58,0,0,.2215,"15,131 M",<empty>
LNNGY,LI NING CO LTD ADR UNSPONSORED,135.12,0,0.00%,<empty>,131.01,141.71,0,0,5.537,"14,247 M",<empty>
LNW,LIGHT & WONDER INC COM,58.29,0,0.00%,<empty>,58.32,84.91,0,0,38.65,"5,311 M",34.18%
LOCO,EL POLLO LOCO HOLDINGS INC COM,9.14,0,0.00%,<empty>,7.98,9.25,0,0,.64,329 M,35.43%
LOPE,GRAND CANYON EDUCATION COM,104.76,0,0.00%,<empty>,91.49,119.96,0,0,6.01,"3,219 M",23.15%
LOTE,LOT 78 INC COM,.0002,0,0.00%,<empty>,.0063,.0083,0,0,<empty>,0,<empty>
LRENY,LOJAS RENNER SA ADR SPONSORED,3.76,0,0.00%,<empty>,2.30,29.00,0,0,.2244,"3,593 M",<empty>
LRN,STRIDE INC COM,40.41,0,0.00%,<empty>,38.50,45.00,0,0,2.61,"1,739 M",34.02%
LSEA,LANDSEA HOMES CORPORATION COM,7.20,0,0.00%,<empty>,6.28,8.25,0,0,1.5,288 M,<empty>
LSEAW,LANDSEA HOMES CORPORATION WARRANT,.154399,0,0.00%,<empty>,.134900,.176800,0,0,<empty>,0,<empty>
LTH,LIFE TIME GROUP HLDGS INC COM,19.01,0,0.00%,<empty>,18.50,20.50,0,0,.33,"3,708 M",56.89%
LTRE,LEARNING TREE INTL COM,.2000,0,0.00%,<empty>,.8400,1.2700,0,0,-.16,2.6 M,<empty>
LTRY,LOTTERY COM INC COM,.2725,0,0.00%,<empty>,.1235,.1290,0,0,.2446,14 M,++
LTRYW,LOTTERY COM INC WARRANT  *CLBL,.0210,0,0.00%,<empty>,.0012,.0150,0,0,<empty>,0,<empty>
LUX,TEMA ETF TRUST LUXURY ETF,23.7597,0,0.00%,<empty>,20.75,27.21,0,0,<empty>,"10,731 M",<empty>
LVLU,LULUS FASHION LOUNGE HLDGS INC COM,2.43,0,0.00%,<empty>,2.12,2.79,0,0,-.09,97 M,87.54%
LVMHF,LVMH MOET HENNESSY VUITTON SE COM,875.00,0,0.00%,<empty>,868.00,875.00,0,0,29.49,"437,519 M",<empty>
LVMUY,LVMH MOET HENNESSY VUITTON SE ADR UNSPONSORED,175.09,0,0.00%,<empty>,170.00,199.00,0,0,5.898,"437,744 M",<empty>
LVWR/WS,LIVEWIRE GROUP INC WARRANT,.3500,0,0.00%,<empty>,.3056,.3900,0,0,<empty>,0,<empty>
LZB,LA-Z-BOY INC COM,26.5385,0,0.00%,<empty>,25.50,30.00,0,0,4.02,"1,145 M",41.95%
MAT,MATTEL INC COM,17.41,0,0.00%,<empty>,17.10,18.25,0,0,.74,"6,162 M",38.51%
MBGAF,MERCEDES BENZ GROUP AG COM,74.818,0,0.00%,<empty>,73.050,77.500,0,0,14.26,"80,043 M",<empty>
MBGYY,MERCEDES BENZ GROUP AG ADR UNSPONSORED,18.66,0,0.00%,<empty>,18.20,18.84,0,0,3.564,"79,853 M",<empty>
MBUU,MALIBU BOATS INC COM CL A,52.45,0,0.00%,<empty>,51.11,55.72,0,0,8.23,"1,082 M",41.54%
MCCK,MESTEK INC COM,21.00,0,0.00%,<empty>,19.25,26.50,0,0,2,159 M,<empty>
MCFT,MASTERCRAFT BOAT HOLDINGS INC COM,26.50,0,0.00%,<empty>,23.14,30.35,0,0,3.22,464 M,38.76%
MCHVY,MGM CHINA HLDGS LTD ADR UNSPONSORED,12.345,0,0.00%,<empty>,.010,173.650,0,0,-2.122,"3,909 M",<empty>
MCRI,MONARCH CASINO & RESORT COM,64.89,0,0.00%,<empty>,59.70,74.30,0,0,4.45,"1,242 M",++
MCW,MISTER CAR WASH INC COM,8.25,0,0.00%,<empty>,8.07,9.45,0,0,.29,"2,545 M",54.50%
MDC,M.D.C. HLDGS INC COM,40.28,0,0.00%,<empty>,38.00,43.70,0,0,6.73,"2,945 M",33.69%
MEDH,MEDX HOLDINGS INC COM,.0003,0,0.00%,<empty>,.0007,.0010,0,0,<empty>,0,<empty>
MENEF,MENE INC COM CL B,.2425,0,0.00%,<empty>,.2183,1.2500,0,0,-.0084,63 M,<empty>
METX,METEN HOLDING GROUP LTD COM,.1887,0,0.00%,<empty>,.1801,.1955,0,0,.5568,4.6 M,<empty>
METXW,METEN HOLDING GROUP LTD WARRANT,.0499,0,0.00%,<empty>,.0435,.0500,0,0,<empty>,0,<empty>
MHGU,MERITAGE HOSPITALITY GROUP INC COM,20.25,0,0.00%,<empty>,19.50,21.50,0,0,.39,132 M,<empty>
MHK,MOHAWK INDUSTRIES COM,92.04,0,0.00%,<empty>,87.00,105.39,0,0,-2.13,"5,861 M",38.42%
MHO,M/I HOMES INC COM,70.67,0,0.00%,<empty>,62.10,75.00,0,0,17.72,"1,967 M",43.91%
MLRT,METALERT INC COM,.0800,0,0.00%,<empty>,.0580,.0850,0,0,-.14,1.8 M,<empty>
MMYT,MAKEMYTRIP LTD COM,26.07,0,0.00%,<empty>,22.76,29.86,0,0,-.1,"2,744 M",33.29%
MNRO,MONRO INC COM,41.37,0,0.00%,<empty>,36.13,46.00,0,0,1.2,"1,300 M",34.81%
MODG,TOPGOLF CALLAWAY BRANDS CORP COM,17.07,0,0.00%,<empty>,17.00,17.49,0,0,.51,"3,168 M",45.15%
MOND,MONDEE HOLDINGS INC COM,11.60,0,0.00%,<empty>,10.64,13.29,0,0,-1.145,974 M,<empty>
MONRF,MONCLER SPA COM,68.09,0,0.00%,<empty>,65.80,69.40,0,0,2.357,"18,304 M",<empty>
MONRY,MONCLER SPA ADR UNSPONSORED,69.60,0,0.00%,<empty>,64.70,70.80,0,0,2.357,"18,710 M",<empty>
MOV,MOVADO GROUP INC COM,25.45,0,0.00%,<empty>,22.22,28.50,0,0,3.73,564 M,47.24%
MPNGY,MEITUAN ADR UNSPONSORED,27.97,0,0.00%,<empty>,27.77,24834.07,0,0,.1063,"87,296 M",<empty>
MPX,MARINE PRODUCTS CORP COM,15.28,0,0.00%,<empty>,13.34,15.46,0,0,1.31,526 M,49.66%
MRM,MEDIROM HEALTHCARE TECH INC ADR,5.81,0,0.00%,<empty>,5.79,6.66,0,0,.1991,28 M,<empty>
MRPLY,MR PRICE GROUP ADR SPONSORED,6.25,0,0.00%,<empty>,.01,12806.36,0,0,.7371,"1,609 M",<empty>
MSC,STUDIO CITY INTL HLDGS LTD ADR,5.76,0,0.00%,<empty>,5.70,6.60,0,0,-1.616,"1,214 M",<empty>
MSN,EMERSON RADIO CORP COM,.5900,0,0.00%,<empty>,.5506,.6033,0,0,-.11,12 M,<empty>
MTH,MERITAGE HOMES CORP COM,115.33,0,0.00%,<empty>,115.80,172.37,0,0,24.49,"4,240 M",36.28%
MTN,VAIL RESORTS INC COM,243.20,0,0.00%,<empty>,212.40,265.00,0,0,8.26,"9,808 M",34.29%
MTTRY,CECONOMY AG ADR UNSPONSORED,.4198,0,0.00%,<empty>,.0001,81204.6000,0,0,.0292,"1,018 M",<empty>
MUSA,MURPHY USA INC COM,276.42,0,0.00%,<empty>,241.41,316.51,0,0,26.82,"6,021 M",29.95%
MYTE,MYT NETHERLANDS PARENT BV ADR,4.15,0,0.00%,<empty>,3.80,4.76,0,0,-.0947,352 M,110.00%
MZDAY,MAZDA MOTOR CORP ADR UNSPONSORED,4.21,0,0.00%,<empty>,4.20,4.50,0,0,.9027,"5,303 M",<empty>
NAAS,NAAS TECHNOLOGY INC ADR,7.13,0,0.00%,<empty>,7.00,7.35,0,0,-4.19,"1,566 M",102.65%
NATH,NATHANS FAMOUS INC COM,71.28,0,0.00%,<empty>,62.25,81.62,0,0,4.51,291 M,<empty>
NAUH,NATIONAL AMER UNIVERSITY HLDGS COM,.0821,0,0.00%,<empty>,.0821,.0939,0,0,.1656,2 M,<empty>
NDLS,NOODLES & CO COM CL A,3.35,0,0.00%,<empty>,3.15,3.71,0,0,0,155 M,89.28%
NEGG,NEWEGG COMMERCE INC COM CL A,1.05,0,0.00%,<empty>,1.04,1.08,0,0,-.15,397 M,121.13%
NETC,NABORS ENERGY TRANSITION CORP COM CL A,10.5999,0,0.00%,<empty>,10.55,10.60,0,0,-.1172,366 M,<empty>
NEWYY,PUXIN LIMITED ADR,.0021,0,0.00%,<empty>,.2251,1.0000,0,0,-24.16,0.02 M,<empty>
NGMS,NEOGAMES S A COM,27.27,0,0.00%,<empty>,26.75,27.60,0,0,-.64,915 M,++
NICH,NITCHE'S INC COM,.002005,0,0.00%,<empty>,.001900,.002200,0,0,<empty>,0.01 M,<empty>
NINOY,NIKON CORP ADR UNSPONSORED,11.018,0,0.00%,<empty>,10.550,11.300,0,0,.8653,"3,831 M",<empty>
NLS,NAUTILUS INC COM,1.27,0,0.00%,<empty>,1.27,1.40,0,0,-3.34,40 M,196.41%
NOBH,NOBILITY HOMES INC COM,24.00,0,0.00%,<empty>,22.50,44.00,0,0,2.68,81 M,<empty>
NORD,NORDICUS PARTNERS CORP COM,.7500,0,0.00%,<empty>,.7000,1.2500,0,0,<empty>,73 M,<empty>
NRDY/WS,NERDY INC WARRANT,.3600,0,0.00%,<empty>,.3144,.4122,0,0,<empty>,0,<empty>
NROM,NOBLE ROMANS INC COM,.3000,0,0.00%,<empty>,.0005,.5300,0,0,0,6.7 M,<empty>
NSANY,NISSAN MOTOR CO ADR SPONSORED,7.4400,0,0.00%,<empty>,.0001,30.0000,0,0,.4826,"14,562 M",<empty>
NTZ,NATUZZI SPA ADR,6.00,0,0.00%,<empty>,5.24,6.87,0,0,-.0526,66 M,<empty>
NVFY,NOVA LIFESTYLE INC COM,2.63,0,0.00%,<empty>,2.29,2.70,0,0,-12.55,3.8 M,<empty>
NVR,NVR INC COM,5554.22,0,0.00%,<empty>,5512.01,5679.00,0,0,475.2,"18,034 M",<empty>
NWTN,NWTN INC COM,10.52,0,0.00%,<empty>,10.16,12.00,0,0,-.17,"3,011 M",<empty>
NWTNW,NWTN INC WARRANT,.2800,0,0.00%,<empty>,.2445,.3206,0,0,<empty>,0,<empty>
ODDAF,ODD BURGER CORPORATION COM,.0735,0,0.00%,<empty>,.0686,.0824,0,0,-.0366,6.7 M,<empty>
ONEW,ONEWATER MARINE INC COM CL A,27.79,0,0.00%,<empty>,24.27,30.78,0,0,7.28,398 M,46.41%
OSW,ONESPAWORLD HOLDINGS LIMITED COM,10.43,0,0.00%,<empty>,10.25,11.21,0,0,.39,"1,057 M",56.66%
OXM,OXFORD INDUSTRIES INC COM,99.94,0,0.00%,<empty>,97.35,108.00,0,0,10.19,"1,577 M",61.81%
PAG,PENSKE AUTOMOTIVE GROUP INC COM,138.22,0,0.00%,<empty>,135.00,158.27,0,0,18.1,"9,537 M",36.31%
PANDY,PANDORA A/S ADR SPONSORED,20.00,0,0.00%,<empty>,19.45,20.65,0,0,1.884,"6,887 M",<empty>
PBKOF,POLLARD BANKNOTE LIMITED COM,17.25,0,0.00%,<empty>,16.79,1017.14,0,0,.4759,464 M,<empty>
PBPB,POTBELLY CORPORATION COM,7.78,0,0.00%,<empty>,7.50,8.47,0,0,.38,227 M,56.94%
PCRFY,PANASONIC HOLDINGS CORP ADR SPONSORED,10.40,0,0.00%,<empty>,10.30,10.50,0,0,.6969,"24,275 M",<empty>
PDYPY,FLUTTER ENTERTAINMENT PLC ADR UNSPONSORED,98.31,0,0.00%,<empty>,96.90,102.75,0,0,-1.045,"34,693 M",<empty>
PET,WAG GROUP COM,2.31,0,0.00%,<empty>,2.01,2.40,0,0,-1.069,87 M,<empty>
PETRY,VIBRA ENERGIA SA ADR UNSPONSORED,6.25,0,0.00%,<empty>,6.10,7.10,0,0,.4405,"3,484 M",<empty>
PETWW,WAG GROUP WARRANT,.2000,0,0.00%,<empty>,.1746,.2290,0,0,<empty>,0,<empty>
PEV,PHOENIX MTR INC COM,.8250,0,0.00%,<empty>,.7205,.8750,0,0,-.6213,18 M,<empty>
PII,POLARIS INC COM,107.71,0,0.00%,<empty>,104.50,110.00,0,0,8.25,"6,129 M",29.59%
PJET,PRIORITY AVIATION INC COM,.0006,0,0.00%,<empty>,.0001,.0130,0,0,<empty>,0,<empty>
PLAY,DAVE & BUSTER'S ENTERTAINMENT COM,32.15,0,0.00%,<empty>,31.89,33.25,0,0,2.79,"1,480 M",62.46%
PLCE,CHILDREN'S PLACE INC COM,15.03,0,0.00%,<empty>,15.02,15.85,0,0,-3.88,186 M,78.89%
PLNT,PLANET FITNESS INC COM CL A,63.94,0,0.00%,<empty>,63.00,73.22,0,0,1.25,"5,432 M",36.04%
